107,NULL,NULL,NULL,NULL,NULL
108,NULL,NULL,NULL,NULL,NULL
109,NULL,NULL,NULL,NULL,NULL
110,NULL,NULL,NULL,NULL,NULL
111,NULL,NULL,NULL,NULL,NULL
112,NULL,NULL,NULL,NULL,NULL
113,NULL,NULL,NULL,NULL,NULL
114,NULL,NULL,NULL,NULL,NULL
115,NULL,NULL,NULL,NULL,NULL
116,MON,900,950,MOREY,501
116,WEN,900,950,MOREY,501
116,FRI,900,950,MOREY,501
117,MON,1025,1115,DOUG,302
117,WEN,1025,1115,DOUG,302
117,FRI,1025,1115,DOUG,302
118,MON,1150,1305,B&L,270
118,WEN,1150,1305,B&L,270
119,MON,1525,1640,RRLIB,428
119,WEN,1525,1640,RRLIB,428
120,MON,1150,1240,DOUG,420
120,WEN,1150,1240,DOUG,420
120,FRI,1150,1240,DOUG,420
121,NULL,NULL,NULL,NULL,NULL
122,MON,1400,1450,LATT,110
122,WEN,1400,1450,LATT,110
122,FRI,1400,1450,LATT,110
123,MON,900,950,LCHAS,148
123,WEN,900,950,LCHAS,148
123,FRI,900,950,LCHAS,148
124,MON,800,850,LATT,110
124,WEN,800,850,LATT,110
124,FRI,800,850,LATT,110
125,MON,1025,1115,LCHAS,148
125,WEN,1025,1115,LCHAS,148
125,FRI,1025,1115,LCHAS,148
126,MON,900,950,LATT,110
126,WEN,900,950,LATT,110
126,FRI,900,950,LATT,110
127,MON,1025,1115,LATT,110
127,WEN,1025,1115,LATT,110
127,FRI,1025,1115,LATT,110
128,MON,1815,1905,LATT,110
128,TUE,1815,1905,LATT,110
128,THU,1815,1905,LATT,110
129,MON,1150,1240,LCHAS,148
129,WEN,1150,1240,LCHAS,148
129,FRI,1150,1240,LCHAS,148
130,MON,1650,1740,LATT,110
130,TUE,1650,1740,LATT,110
130,THU,1650,1740,LATT,110
131,TUE,1230,1345,LCHAS,161
131,THU,1230,1345,LCHAS,161
132,MON,1150,1240,LATT,110
132,WEN,1150,1240,LATT,110
132,FRI,1150,1240,LATT,110
133,MON,1230,1345,LCHAS,141
133,WEN,1230,1345,LCHAS,141
134,TUE,1105,1220,LCHAS,148
134,THU,1105,1220,LCHAS,148
135,TUE,1400,1515,LATT,110
135,THU,1400,1515,LATT,110
136,TUE,1230,1345,LATT,110
136,THU,1230,1345,LATT,110
137,MON,1230,1345,TODD,202
137,WEN,1230,1345,TODD,202
138,TUE,1400,1515,LCHAS,148
138,THU,1400,1515,LCHAS,148
139,TUE,1105,1220,LATT,110
139,THU,1105,1220,LATT,110
140,MON,1230,1345,LCHAS,160
140,WEN,1230,1345,LCHAS,160
141,TUE,1525,1640,LATT,110
141,THU,1525,1640,LATT,110
142,MON,1230,1345,STRNG,LOWER
142,WEN,1230,1345,STRNG,LOWER
143,TUE,940,1055,LATT,110
143,THU,940,1055,LATT,110
144,NULL,NULL,NULL,NULL,NULL
145,NULL,NULL,NULL,NULL,NULL
146,NULL,NULL,NULL,NULL,NULL
147,TUE,1230,1345,CSB,209
